,,,,,,,,,,,,,,,
,,,,,,,,,The City of New York,,,,,,
,,,,,,,,,Department of Environmental Protection,,,,,,2/6/18
,,,,,,,,,Harbor Survey 2013,,,,,,1/23/18
,,,,,,,,,,,,,,,
,,,DO,,Fecal Coliform,,Enterococcus,,Transparency,Weather,,,,,
,,,(mg/L),,(#/100 mL),,(#/100 mL),,(Secchi),Wet/Dry,,,,,
,Site,Date,Top,Bot,Top,Bot,Top,Bot,ft.,,,,,,
,,,,,,,,,,,,,,,
,BB2,10/16/2013,4.40,NS,22000,NS,21,NS,2.5,Dry,,,,,
,BB4,10/16/2013,7.02,6.73,4700,NS,8,NS,4.0,Dry,,,,,
,CIC3,10/16/2013,5.94,5.66,5400,NS,148,NS,5.5,Dry,,,,,
,GB1,10/16/2013,7.06,6.84,66,NS,14,NS,4.5,Dry,,,,,
,J1,10/16/2013,7.51,7.67,18,NS,1,NS,5.5,Dry,,,,,
,J10,10/16/2013,8.14,7.97,200,NS,1,NS,5.5,Dry,,,,,
,J11,10/16/2013,7.86,7.09,84,NS,1,NS,5.0,Dry,,,,,
,J12,10/16/2013,7.97,6.59,140,NS,1,NS,5.0,Dry,,,,,
,J2,10/16/2013,7.88,7.50,18,NS,1,NS,6.0,Dry,,,,,
,J3,10/16/2013,7.47,7.57,260,NS,1,NS,5.5,Dry,,,,,
,J5,10/16/2013,8.41,7.57,20,NS,1,NS,5.5,Dry,,,,,
,J7,10/16/2013,7.66,7.36,1400,NS,4,NS,5.0,Dry,,,,,
,J8,10/16/2013,6.96,7.01,328,NS,2,NS,5.5,Dry,,,,,
,J9A,10/16/2013,7.72,7.51,192,NS,1,NS,5.5,Dry,,,,,
,N16,10/16/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,N9,10/16/2013,6.86,7.12,11,NS,1,NS,4.5,Dry,,,,,
,N9A,10/16/2013,9.55,7.27,7,NS,1,NS,5.5,Dry,,,,,
,PB2,10/16/2013,9.34,9.54,139,NS,1,NS,2.5,Dry,,,,,
,PB3,10/16/2013,10.27,NS,66,NS,1,NS,4.0,Dry,,,,,
,SP2,10/16/2013,7.05,NS,312,NS,1,NS,6.0,Dry,,,,,
,CIC3,10/09/2013,6.24,6.16,NS,NS,NS,NS,5.0,Wet,,,,,
,GB1,10/09/2013,6.36,6.31,NS,NS,NS,NS,4.5,Wet,,,,,
,G2,10/08/2013,5.46,5.56,4000,NS,600,NS,3.5,Wet,,,,,
,K1,10/08/2013,6.37,6.32,260,NS,58,NS,3.5,Wet,,,,,
,K2,10/08/2013,6.63,6.63,240,NS,22,NS,4.0,Wet,,,,,
,K3,10/08/2013,6.05,6.07,9600,NS,240,NS,3.5,Wet,,,,,
,K4,10/08/2013,5.95,5.74,84,NS,12,NS,3.0,Wet,,,,,
,K5,10/08/2013,5.94,5.88,44,NS,6,NS,3.5,Wet,,,,,
,K5A,10/08/2013,6.47,6.17,58,NS,8,NS,4.0,Wet,,,,,
,K6,10/08/2013,6.88,6.71,6,NS,2,NS,4.0,Wet,,,,,
,N6,10/08/2013,6.33,6.05,128,NS,14,NS,4.0,Wet,,,,,
,N7,10/08/2013,6.71,6.46,88,NS,12,NS,4.0,Wet,,,,,
,N8,10/08/2013,6.48,6.64,55,NS,10,NS,4.0,Wet,,,,,
,NC0,10/08/2013,1.02,1.01,200000,200000,20000,20000,1.0,Wet,,,,,
,NC1,10/08/2013,4.00,3.66,21000,44000,1000,1700,1.5,Wet,,,,,
,NC2,10/08/2013,4.69,4.71,9100,6000,2000,3200,2.0,Wet,,,,,
,NC3,10/08/2013,5.17,5.42,57000,43000,5800,2300,1.5,Wet,,,,,
,BR5,10/07/2013,6.65,NS,56,NS,9,NS,3.5,Dry,,,,,
,E10,10/07/2013,5.24,4.98,28,NS,1,NS,4.5,Dry,,,,,
,E11,10/07/2013,6.31,NS,21,NS,5,NS,4.0,Dry,,,,,
,E14,10/07/2013,6.06,5.98,20,NS,1,NS,5.0,Dry,,,,,
,E15,10/07/2013,6.57,6.12,530,NS,3,NS,5.0,Dry,,,,,
,E2,10/07/2013,5.93,5.90,14,NS,2,NS,3.0,Dry,,,,,
,E4,10/07/2013,5.93,5.91,22,NS,4,NS,4.0,Dry,,,,,
,E6,10/07/2013,6.07,5.99,15,NS,3,NS,5.0,Dry,,,,,
,E7,10/07/2013,6.20,6.08,15,NS,5,NS,6.0,Dry,,,,,
,E8,10/07/2013,6.05,6.11,26,NS,2,NS,5.0,Dry,,,,,
,FB1,10/07/2013,6.66,6.36,520,NS,14,NS,4.0,Dry,,,,,
,FLC1,10/07/2013,5.16,5.25,3000,NS,46,NS,3.5,Dry,,,,,
,FLC2,10/07/2013,6.20,5.86,1200,NS,12,NS,4.5,Dry,,,,,
,H3,10/07/2013,5.89,5.84,39,NS,20,NS,2.5,Dry,,,,,
,LN1,10/07/2013,6.79,NS,124,NS,25,NS,4.5,Dry,,,,,
,N1,10/07/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,N3B,10/07/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,N4,10/07/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,N5,10/07/2013,NS,NS,NS,NS,NS,NS,NS,Dry,,,,,
,CIC2,10/02/2013,3.33,NS,177000,NS,990,NS,NS,Dry,,,,,
,GC3,10/02/2013,0.71,0.78,15,27,52,56,NS,Dry,,,,,
,GC4,10/02/2013,2.22,1.64,23,4,16,72,NS,Dry,,,,,
,GC5,10/02/2013,3.12,2.90,15,8,16,32,NS,Dry,,,,,
,GC6,10/02/2013,5.40,4.32,19,4,32,16,NS,Dry,,,,,
,AC1,10/01/2013,3.88,NS,8000,NS,232,NS,NS,Dry,,,,,
,BR1,10/01/2013,7.70,NS,292,NS,32,NS,NS,Dry,,,,,
,BR3,10/01/2013,4.28,NS,46,NS,12,NS,NS,Dry,,,,,
,HC1,10/01/2013,3.47,NS,26,NS,8,NS,NS,Dry,,,,,
,HC2,10/01/2013,6.61,NS,4,NS,2,NS,NS,Dry,,,,,
,SP1,10/01/2013,6.70,NS,164,NS,8,NS,NS,Dry,,,,,
,F1,09/30/2013,6.81,NS,590,NS,12,NS,NS,Dry,,,,,
,F5,09/30/2013,9.03,NS,2000,NS,500,NS,NS,Dry,,,,,
,J14,09/30/2013,8.78,NS,125,NS,2,NS,NS,Dry,,,,,
,J16,09/30/2013,9.67,NS,31,NS,2,NS,NS,Dry,,,,,
,BB2,09/25/2013,6.58,NS,8700,NS,35,NS,4.5,Dry,,,,,
,BB4,09/25/2013,6.30,5.84,1500,NS,1,NS,5.5,Dry,,,,,
,CIC2,09/25/2013,5.60,NS,45000,NS,132,NS,NS,Dry,,,,,
,CIC3,09/25/2013,6.93,6.97,950,NS,6,NS,6.5,Dry,,,,,
,GB1,09/25/2013,6.88,6.83,52,NS,1,NS,6.0,Dry,,,,,
,GC3,09/25/2013,0.09,0.16,4100,2200,540,560,NS,Wet,,,,,
,GC4,09/25/2013,0.00,0.02,2100,4200,210,420,NS,Wet,,,,,
,GC5,09/25/2013,0.19,0.60,2500,392,270,124,NS,Wet,,,,,
,GC6,09/25/2013,3.01,4.73,1600,220,28,40,NS,Wet,,,,,
,J10,09/25/2013,8.12,8.30,3,NS,1,NS,7.5,Dry,,,,,
,J12,09/25/2013,8.16,6.77,40,NS,1,NS,6.0,Dry,,,,,
,J5,09/25/2013,8.72,8.43,9,NS,1,NS,5.0,Dry,,,,,
,N9A,09/25/2013,7.73,7.49,2,NS,1,NS,8.5,Dry,,,,,
,NC0,09/25/2013,4.08,3.26,520,400,12,24,2.5,Wet,,,,,
,NC1,09/25/2013,5.79,3.56,480,195,12,4,3.5,Wet,,,,,
,NC2,09/25/2013,4.95,5.24,200,440,12,50,2.5,Wet,,,,,
,NC3,09/25/2013,5.67,5.44,206,75,12,12,3.5,Wet,,,,,
,PB2,09/25/2013,7.69,7.48,128,NS,30,NS,5.0,Dry,,,,,
,PB3,09/25/2013,8.03,NS,44,NS,1,NS,6.5,Dry,,,,,
,SP2,09/25/2013,7.56,NS,115,NS,1,NS,6.0,Dry,,,,,
,AC1,09/24/2013,7.13,NS,200000,NS,53000,NS,NS,Dry,,,,,
,BR1,09/24/2013,7.57,NS,840,NS,130,NS,NS,Dry,,,,,
,BR3,09/24/2013,1.71,NS,2100,NS,200,NS,NS,Dry,,,,,
,HC1,09/24/2013,3.58,NS,4100,NS,10,NS,NS,Dry,,,,,
,HC2,09/24/2013,6.17,NS,36,NS,10,NS,NS,Dry,,,,,
,SP1,09/24/2013,6.28,NS,153,NS,80,NS,NS,Dry,,,,,
,BR5,09/23/2013,6.84,NS,660,NS,2,NS,3.5,Wet,,,,,
,E10,09/23/2013,5.20,5.30,87,NS,4,NS,4.0,Wet,,,,,
,E11,09/23/2013,6.49,NS,260,NS,2,NS,4.0,Wet,,,,,
,E14,09/23/2013,5.45,5.55,220,NS,14,NS,5.5,Wet,,,,,
,E15,09/23/2013,6.19,6.33,4000,NS,50,NS,2.0,Wet,,,,,
,E2,09/23/2013,5.78,5.63,278,NS,40,NS,3.5,Wet,,,,,
,E4,09/23/2013,4.57,4.26,196,NS,4,NS,3.5,Wet,,,,,
,E6,09/23/2013,5.51,5.05,980,NS,2,NS,3.0,Wet,,,,,
,E7,09/23/2013,5.37,5.62,390,NS,12,NS,4.5,Wet,,,,,
,E8,09/23/2013,5.20,5.54,430,NS,8,NS,4.5,Wet,,,,,
,FB1,09/23/2013,5.99,5.75,860,NS,4,NS,4.0,Wet,,,,,
,FLC1,09/23/2013,4.78,4.80,20000,NS,360,NS,2.0,Wet,,,,,
