Site,Date,Depth,,Salinity,,Temperature,,O2,,O2 Saturation,,Conductivity,,Light Trans,,Sigma-T,,Fluorometer,,pH,,Photosysthetically Active Radiation Reference (400-700nm light),PAR,,Oxidation Reduction Potential,,Latitude,Longitude,Default,,Hr:Mn,Act. Dep.,Current,,Wind,,Sea State,O2 (Wnklr),,Secchi,pH,,Fecal  Coliform,,Inc.,Enterococcus,,Inc.,Weather,NO3/NO2-N,,NH3-N,,Ortho-P,,TKN-N,,SiO2,,Total-P,,TSS,,Chl a,,DOC,Depth (YSI),,Salinity (YSI),,Temperature (YSI),,Chl a (field),,DO (YSI),,Turbidity (YSI),,Weather,,,
,,(ft),,(psu),,(deg C),,(mg/L),,(% sat),,(S/M),,(%Trans.),,(kg/m3),,(mg/m3),,,,uE/s m2,uE/s m2,,mV,,,,Latitude,Longitude,,(ft),(knots),,(mph),,,(mg/L),,(ft),,,(#/100 mL),,#,(#/100 mL),,#,,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(μg/L),,(mg/L),(ft),,(psu),,(deg C),,(μg/L),,(mg/L),,,,Rain Gage,,,
   ,,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,,,,,,,Speed,Dir.,Speed,Dir.,,Top,Bot,,Top,Bot,Top,Bot,,Top,Bot,,Dry/Wet,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Dry/Wet,,,
HC2,7/31/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:35 AM,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.05,ND,10,ND,,4,ND,,D,2.130,,12.600,,1.690,,34.000,,6.110,,1.910,,6.4,,10.200,,,ND,ND,11.74,ND,25.42,ND,5.9,ND,4.52,ND,0.6,ND,D,,,
SP1,7/31/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:00 AM,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.57,ND,10,ND,,12,ND,,D,0.190,,1.120,,0.376,,2.800,,2.370,,0.618,,9.4,,25.680,,,ND,ND,25.62,ND,26.35,ND,17.5,ND,2.90,ND,ND,ND,D,,,
DHC2,7/31/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,ND,,4,ND,,D,2.000,,11.600,,1.540,,41.400,,5.810,,1.880,,14.8,,10.200,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
E10,8/4/08,4,92,25.69,26.63,22.19,20.97,4.65,2.16,62.24,28.37,3.80,3.83,ND,ND,17.11,18.14,1.14,2.68,ND,ND,1825,130,0,ND,ND,40.844330,-73.764500,ND,ND,10:25 AM,87.3,1,FLD,7,N,CALM ,5.52,3.61,6.0,7.24,7.15,20,ND,,1,ND,,D,0.078,,0.134,,0.100,,0.668,,2.710,,0.148,,31.2,25.6,7.500,,3.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
E8,8/4/08,5,74,25.49,25.48,22.17,22.13,3.40,3.32,45.27,44.19,3.77,3.77,ND,ND,16.97,16.96,3.31,3.76,ND,ND,1793,71,0,ND,ND,40.801670,-73.781830,ND,ND,10:50 AM,76.9,0.6,FLD,11,N,CALM ,4.08,4.20,4.0,7.19,7.20,41,ND,,2,ND,,D,0.144,,0.263,,0.117,,0.898,,2.580,,0.178,,27.2,28.8,3.204,,2.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
E7,8/4/08,4,39,24.78,24.97,22.60,22.47,3.40,3.46,45.57,46.24,3.71,3.73,ND,ND,16.31,16.49,2.71,3.30,ND,ND,1875,148,0,ND,ND,40.802830,-73.819830,ND,ND,11:05 AM,45.0,0.7,FLD,13,NLY,CALM ,4.36,4.70,5.5,7.20,7.20,58,ND,,1,ND,,D,0.213,,0.414,,0.145,,0.842,,2.540,,0.202,,28.0,27.2,3.340,,3.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
E6,8/4/08,5,20,24.81,24.83,22.68,22.65,3.34,3.25,44.81,43.56,3.72,3.72,ND,ND,16.31,16.33,2.49,2.38,ND,ND,2095,132,-0,ND,ND,40.785670,-73.861000,ND,ND,11:20 AM,22.0,0.6,FLD,12,NLY,CALM ,4.76,4.12,3.5,7.13,7.12,26,ND,,4,ND,,D,0.234,,0.376,,0.145,,0.876,,2.410,,0.193,,20.8,20.0,2.376,,3.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
FB1,8/4/08,5,18,24.63,24.73,22.92,22.78,3.56,3.45,47.82,46.27,3.72,3.72,ND,ND,16.11,16.23,2.81,2.83,ND,ND,2089,22,0,ND,ND,40.772330,-73.853000,ND,ND,11:25 AM,21.0,1.3,FLD,13,NLY,CALM ,4.61,4.25,2.0,7.18,7.16,34,ND,,2,ND,,D,0.228,,0.436,,0.152,,1.280,,2.570,,0.254,,37.6,43.2,2.697,,3.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
E15,8/4/08,4,15,24.20,24.21,23.01,22.95,3.89,3.95,52.22,53.00,3.66,3.66,ND,ND,15.77,15.79,4.03,4.70,ND,ND,1240,86,0,ND,ND,40.762500,-73.849330,ND,ND,11:35 AM,15.0,1.4,FLD,14,NLY,CALM ,4.69,4.93,3.0,7.28,7.20,50,ND,,6,ND,,D,0.262,,0.454,,0.154,,1.120,,2.450,,0.254,,36.4,43.2,4.700,,3.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
FLC2,8/4/08,4,9,22.46,23.78,24.10,23.38,6.34,5.93,85.98,80.09,3.50,3.63,ND,ND,14.15,15.34,29.75,18.45,ND,ND,2102,78,4,ND,ND,40.765000,-73.842330,ND,ND,11:46 AM,14.5,0.6,FLD,10,NLY,CALM ,6.86,7.52,3.0,7.35,7.39,744,ND,,5,ND,,D,0.208,,0.374,,0.130,,1.420,,2.770,,0.272,,36.8,28.8,14.261,,4.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
FLC1,8/4/08,5,17,23.66,23.85,23.21,23.09,3.53,3.39,47.43,45.53,3.60,3.62,ND,ND,15.30,15.48,15.22,14.11,ND,ND,1934,33,0,ND,ND,40.762000,-73.836670,ND,ND,11:54 AM,17.2,0.6,FLD,3,NLY,CALM ,4.29,4.21,2.0,7.17,7.13,1190,ND,,42,ND,,D,0.206,,0.486,,0.158,,1.500,,2.770,,0.328,,40.8,35.2,15.520,,3.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
E14,8/4/08,4,20,23.83,24.00,23.18,22.97,3.40,3.24,45.73,43.52,3.63,3.63,ND,ND,15.44,15.62,2.06,2.04,ND,ND,1110,66,0,ND,ND,40.800830,-73.864670,ND,ND,12:27 PM,22.0,1.1,FLD,12,NWLY,CALM ,4.21,4.79,5.0,6.99,6.99,29,ND,,1,ND,,D,0.320,,0.432,,0.159,,0.890,,2.280,,0.204,,20.4,18.4,2.208,,3.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
E4,8/4/08,4,74,21.91,21.90,23.45,23.42,4.45,4.33,59.52,57.85,3.38,3.38,ND,ND,13.91,13.92,2.31,2.40,ND,ND,709,0,0,ND,ND,40.782830,-73.921170,ND,ND,12:50 PM,75.0,0,SLK,5,NLY,CALM ,5.67,5.43,2.0,7.19,7.20,21,ND,,3,ND,,D,0.324,,0.396,,0.132,,0.898,,1.490,,0.191,,24.0,23.2,2.565,,2.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
E2,8/4/08,4,46,22.20,22.41,23.38,23.15,4.75,4.62,63.54,61.57,3.41,3.43,ND,ND,14.16,14.38,2.47,2.41,ND,ND,1190,94,0,ND,ND,40.735500,-73.971000,ND,ND,1:15 PM,49.0,0.7,EBB,9,NLY,CALM ,5.84,4.04,3.5,7.28,7.29,QD,ND,,2,ND,,D,0.292,,0.308,,0.116,,0.781,,1.310,,0.158,,20.8,23.2,2.376,,3.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
N5,8/4/08,4,52,20.80,26.07,23.88,22.00,5.74,5.30,76.78,70.66,3.25,3.84,ND,ND,12.96,17.44,4.12,4.72,ND,ND,1927,106,0,ND,ND,40.704670,-74.024500,ND,ND,1:39 PM,49.0,0.5,FLD,8,NWLY,CALM ,6.43,7.83,3.0,7.37,7.53,QD,ND,,160,ND,,D,0.272,,0.284,,0.103,,0.688,,1.270,,0.132,,23.0,21.2,4.260,,3.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
N4,8/4/08,4,37,14.64,24.09,25.19,22.65,6.27,4.68,82.93,62.40,2.42,3.62,ND,ND,7.98,15.78,7.30,2.61,ND,ND,973,62,0,ND,ND,40.763830,-74.005170,ND,ND,2:04 PM,40.0,0.4,S,13,N,1,7.03,5.79,2.5,7.41,7.36,QD,ND,,4,ND,,D,0.337,,0.233,,0.099,,0.902,,1.300,,0.134,,22.4,32.0,7.640,,3.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
N3B,8/4/08,4,63,14.36,21.64,25.29,23.29,6.23,4.42,82.44,58.77,2.39,3.33,ND,ND,7.74,13.76,6.86,2.26,ND,ND,1452,23,0,ND,ND,40.820000,-73.964670,ND,ND,2:30 PM,60.0,2.3,E,7,NELY,CALM ,6.64,5.56,3.0,7.40,7.50,QD,ND,,6,ND,,D,0.322,,0.254,,0.103,,0.786,,1.340,,0.134,,24.0,26.4,4.280,,3.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
N1,8/4/08,4,46,10.36,14.60,25.99,24.91,6.32,4.93,82.68,64.94,1.79,2.41,ND,ND,4.55,8.03,6.58,3.10,ND,ND,758,29,0,ND,ND,40.911500,-73.914167,ND,ND,3:10 PM,50.0,1.8,E,13,N,CALM ,7.33,6.02,3.0,7.55,7.42,QD,ND,,6,ND,,D,0.406,,0.259,,0.117,,0.954,,1.280,,0.148,,23.2,26.8,7.333,,3.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
H3,8/4/08,4,30,19.46,19.50,24.29,24.24,4.56,4.51,60.96,60.26,3.09,3.09,ND,ND,11.84,11.89,3.25,3.16,ND,ND,1713,119,0,ND,ND,40.829000,-73.934000,ND,ND,4:02 PM,30.0,1,E,3,NLY,CALM ,5.29,5.27,3.5,7.10,7.13,QD,ND,,6,ND,,D,0.370,,0.282,,0.123,,0.852,,1.580,,0.174,,30.4,33.6,2.432,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
DE2,8/4/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5.45,5.20,4.0,ND,ND,QD,ND,,1,ND,,D,0.296,,0.306,,0.114,,0.843,,1.380,,0.148,,15.2,27.2,2.636,,3.10,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
N9,8/5/08,4,18,29.48,29.83,21.59,21.14,6.78,6.40,91.58,85.82,4.25,4.26,ND,ND,20.14,20.53,8.62,11.50,ND,ND,1746,139,5,ND,ND,40.569000,-73.983000,ND,ND,11:15 AM,18.0,0.4,W,3,W,1,8.15,7.49,5.0,7.76,7.80,QD,ND,,1,ND,,D,0.058,,0.086,,0.045,,0.902,,0.592,,0.088,,8.4,5.2,10.480,,2.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N16,8/5/08,4,24,30.20,31.23,21.58,18.52,8.30,7.64,112.60,98.52,4.34,4.19,ND,ND,20.69,22.26,10.32,5.40,ND,ND,1828,160,13,ND,ND,40.529670,-73.943500,ND,ND,11:39 AM,28.0,0.9,NW,5,SW,1,9.42,9.17,6.5,7.88,ND,QD,ND,,1,ND,,D,<0.010,,<0.010,,0.022,,0.951,,0.327,,0.044,,4.0,,4.909,,2.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J11,8/5/08,4,21,29.17,29.67,22.67,21.97,8.04,6.46,110.58,87.97,4.31,4.31,ND,ND,19.61,20.18,16.54,21.92,ND,ND,1777,137,-0,ND,ND,40.581830,-73.931330,ND,ND,12:03 PM,22.0,0.2,NW,8,S,1,8.12,8.00,4.0,8.02,7.98,QD,ND,,1,ND,,D,0.058,,0.051,,0.044,,0.832,,0.562,,0.112,,20.0,16.4,22.400,,2.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
SHB1,8/5/08,5,35,29.28,29.60,22.97,21.04,10.77,1.99,148.77,26.84,4.35,4.22,ND,ND,19.61,20.38,72.18,11.82,ND,ND,1787,61,0,ND,ND,40.582830,-73.947330,ND,ND,12:22 PM,38.0,HW SLK,ND,7,S,1,5.41,3.64,3.0,7.81,7.74,QD,QD,,9,2,,D,0.057,0.028,0.196,0.424,0.102,0.224,1.380,1.480,0.952,1.200,0.173,0.383,5.6,3.2,26.098,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J1,8/5/08,4,34,29.12,30.82,23.28,20.60,8.64,6.75,119.97,90.22,4.35,4.33,ND,ND,19.40,21.42,30.62,9.86,ND,ND,716,17,0,ND,ND,40.573500,-73.884500,ND,ND,12:55 PM,36.0,1.2,W,9,S,1,9.42,8.70,2.0,8.07,8.01,QD,ND,,2,ND,,D,0.060,,0.060,,0.065,,0.862,,0.455,,0.161,,12.8,19.2,29.560,,3.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J2,8/5/08,4,34,28.11,28.79,24.68,23.34,9.48,6.91,134.25,95.96,4.34,4.31,ND,ND,18.24,19.14,56.81,31.61,ND,ND,1819,111,0,ND,ND,40.608170,-73.885500,ND,ND,1:11 PM,40.0,0.3,E,11,S,1,9.41,9.05,2.0,8.04,8.03,QD,ND,,1,ND,,D,0.098,,0.149,,0.114,,1.440,,0.628,,0.259,,4.8,23.2,64.200,,3.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J3,8/5/08,5,33,27.90,28.25,25.09,24.06,11.08,6.72,157.80,94.18,4.34,4.30,ND,ND,17.96,18.52,59.31,33.55,ND,ND,1755,55,0,ND,ND,40.626830,-73.882830,ND,ND,1:22 PM,34.0,1.1,W,13,S,1,11.67,9.65,2.5,8.16,8.07,QD,ND,,1,ND,,D,0.116,,0.146,,0.127,,1.640,,0.638,,0.307,,17.6,17.6,73.730,,4.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J9A,8/5/08,4,26,27.93,27.94,24.94,24.61,9.84,8.04,139.77,113.54,4.33,4.31,ND,ND,18.03,18.13,57.37,49.37,ND,ND,1777,100,0,ND,ND,40.633500,-73.873330,ND,ND,1:29 PM,27.0,0.6,W,13,S,1,10.61,10.48,3.0,8.10,8.10,QD,ND,,1,ND,,D,0.117,,0.206,,0.137,,1.710,,0.794,,0.307,,15.2,8.0,55.651,,3.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
SP2,8/5/08,4,10,27.64,27.66,25.10,25.06,7.73,7.70,110.00,109.52,4.31,4.31,ND,ND,17.76,17.79,42.62,48.58,ND,ND,1765,66,5,ND,ND,40.643000,-73.853330,ND,ND,1:41 PM,12.0,0.4,W,12,S,1,9.05,9.01,3.0,7.95,ND,QD,ND,,1,ND,,D,0.135,,0.404,,0.178,,1.890,,1.070,,0.335,,10.4,,51.066,,3.50,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J8,8/5/08,4,20,27.62,27.93,25.00,24.23,6.79,4.85,96.37,68.02,4.29,4.27,ND,ND,17.77,18.23,43.98,25.76,ND,ND,1755,97,0,ND,ND,40.642830,-73.850170,ND,ND,1:47 PM,21.0,0.8,W,11,S,1,7.86,6.29,2.5,7.89,7.80,QD,ND,,1,ND,,D,0.138,,0.452,,0.186,,1.710,,1.110,,0.340,,10.4,12.0,48.100,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J7,8/5/08,5,23,25.88,26.81,25.96,25.05,10.02,2.35,143.24,33.18,4.13,4.19,ND,ND,16.18,17.15,63.32,22.09,ND,ND,1773,66,0,ND,ND,40.645330,-73.820670,ND,ND,2:00 PM,25.0,0.7,N,12,S,1,9.52,6.45,2.5,8.00,7.80,QD,ND,,1,ND,,D,0.207,,0.820,,0.281,,7.040,,1.280,,0.482,,9.2,3.2,70.700,,4.50,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J12,8/5/08,4,33,26.23,27.07,25.68,24.98,7.35,2.73,104.77,38.61,4.16,4.22,ND,ND,16.53,17.36,3.73,22.83,ND,ND,1797,79,0,ND,ND,40.632830,-73.805830,ND,ND,2:10 PM,36.0,0.8,NW,14,S,1,5.73,4.85,2.5,7.75,7.71,QD,ND,,1,ND,,D,0.142,,0.768,,0.274,,3.980,,1.500,,0.431,,7.2,8.0,48.470,,4.10,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J5,8/5/08,4,18,27.22,27.45,25.38,24.96,9.50,7.98,135.38,113.13,4.27,4.27,ND,ND,17.36,17.66,52.98,47.90,ND,ND,1731,81,0,ND,ND,40.597830,-73.807830,ND,ND,2:26 PM,21.0,1.2,W,13,S,1,9.77,9.71,2.5,8.07,8.06,QD,ND,,1,ND,,D,0.106,,0.122,,0.161,,2.590,,0.951,,0.332,,7.2,11.2,55.896,,4.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
DJ12,8/5/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5.81,4.90,2.5,ND,ND,QD,ND,,2,ND,,D,0.142,,0.802,,0.278,,2.840,,1.520,,0.432,,12.0,7.2,43.900,,4.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
G2,8/6/08,3,26,22.98,24.81,24.25,22.57,7.75,4.18,105.73,55.93,3.59,3.71,ND,ND,14.50,16.34,30.67,5.26,ND,ND,1155,107,0,ND,ND,40.666330,-74.003670,ND,ND,4:38 PM,28.0,WEAK,E,6,N,1,7.98,5.88,3.0,7.57,7.42,QD,ND,,2,ND,,W,0.284,,0.231,,0.098,,1.050,,0.910,,0.158,,8.8,15.2,26.846,,2.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N7,8/6/08,4,50,20.80,27.23,24.02,21.67,5.22,5.65,70.10,75.37,3.26,3.96,ND,ND,12.93,18.42,3.22,6.40,ND,ND,1097,59,0,ND,ND,40.643670,-74.053500,ND,ND,12:03 PM,49.0,0.4,N,8,N,1,6.85,6.97,5.0,7.38,7.51,QD,ND,,2,ND,,W,0.314,,0.352,,0.112,,0.721,,1.240,,0.153,,9.6,19.2,4.220,,4.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N8,8/6/08,5,94,25.06,29.11,22.73,20.94,5.83,6.38,78.28,85.02,3.76,4.15,ND,ND,16.49,20.03,6.46,9.02,ND,ND,1356,42,0,ND,ND,40.606500,-74.044170,ND,ND,12:47 PM,93.0,0.7,N,15,NNW,1,6.20,7.30,5.0,7.45,7.66,QD,ND,,2,ND,,W,0.210,,0.286,,0.090,,0.988,,0.958,,0.134,,6.2,6.6,4.340,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K6,8/6/08,3,22,25.37,26.28,23.08,22.13,6.64,5.03,90.01,67.36,3.83,3.88,ND,ND,16.63,17.57,9.69,5.85,ND,ND,1151,70,0,ND,ND,40.510170,-74.100330,ND,ND,1:30 PM,21.0,0.7,E,7,NW,1,7.84,6.70,5.0,7.52,7.49,QD,ND,,2,ND,,W,0.196,,0.271,,0.085,,0.976,,0.919,,0.130,,6.8,11.2,9.260,,2.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K5A,8/6/08,5,25,23.46,24.67,25.42,24.25,9.84,4.20,137.46,57.83,3.74,3.82,ND,ND,14.52,15.77,64.60,6.98,ND,ND,622,4,0,ND,ND,40.484000,-74.245000,ND,ND,2:12 PM,23.0,0.9,S,10,NW,1,9.59,6.57,3.0,7.65,7.42,QD,ND,,2,ND,,W,0.390,,0.166,,0.122,,1.490,,1.030,,0.256,,20.0,17.6,54.960,,3.50,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K5,8/6/08,4,39,22.72,24.77,25.64,24.14,5.60,4.56,78.14,62.74,3.65,3.83,ND,ND,13.90,15.88,12.24,6.74,ND,ND,1992,107,0,ND,ND,40.510500,-74.258170,ND,ND,2:26 PM,42.0,0.2,S,14,NW,1,6.62,6.18,5.0,7.46,7.45,QD,ND,,2,ND,,W,0.468,,0.398,,0.171,,1.350,,1.410,,0.238,,10.4,22.4,15.520,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K4,8/6/08,4,38,20.42,21.58,26.49,25.65,4.81,3.67,67.25,50.87,3.37,3.48,ND,ND,11.93,13.05,5.27,2.74,ND,ND,857,46,0,ND,ND,40.565830,-74.212830,ND,ND,3:00 PM,39.0,0.8,S,7,NW,1,5.36,4.93,5.0,7.15,7.12,QD,ND,,2,ND,,W,0.614,,0.660,,0.225,,1.330,,1.830,,0.290,,9.6,8.8,5.060,,3.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K3,8/6/08,4,36,20.48,21.01,25.19,24.69,5.18,4.82,70.87,65.57,3.29,3.33,ND,ND,12.35,12.89,5.02,3.25,ND,ND,1379,112,0,ND,ND,40.637330,-74.195330,ND,ND,3:29 PM,39.0,1,S,7,NW,1,6.30,6.35,6.5,7.25,7.24,QD,ND,,146,ND,,W,0.450,,0.850,,0.196,,1.470,,1.650,,0.248,,18.4,10.4,3.038,,3.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K2,8/6/08,4,29,20.60,21.31,25.23,24.42,5.72,5.31,78.33,72.14,3.31,3.36,ND,ND,12.43,13.20,7.94,4.08,ND,ND,616,29,0,ND,ND,40.641170,-74.153000,ND,ND,3:45 PM,30.0,1,E,13,N,1,6.48,6.98,4.0,7.35,7.34,QD,ND,,2,ND,,W,0.406,,0.438,,0.171,,1.160,,1.590,,0.213,,14.4,42.4,6.260,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
K1,8/6/08,4,37,22.37,26.45,23.86,21.84,5.36,5.35,72.33,71.32,3.47,3.87,ND,ND,14.15,17.78,4.23,4.44,ND,ND,1720,105,0,ND,ND,40.649500,-74.084170,ND,ND,4:05 PM,39.0,3,S,12,N,1,6.78,6.50,3.5,7.38,7.50,QD,ND,,2,ND,,W,0.310,,0.388,,0.126,,0.866,,1.360,,0.174,,25.6,7.2,4.505,,3.70,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
N6,8/6/08,3,52,21.04,27.76,24.27,21.37,6.09,5.61,82.20,74.67,3.31,4.01,ND,ND,13.03,18.89,6.21,5.44,ND,ND,543,26,0,ND,ND,40.664830,-74.052170,ND,ND,4:18 PM,53.0,1.4,S,13,NW,1,7.39,7.06,3.5,7.49,7.61,QD,ND,,2,ND,,W,0.288,,0.344,,0.107,,1.450,,1.100,,0.148,,8.0,13.6,6.920,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
NC0,8/6/08,4,13,22.06,22.61,23.63,23.47,0.15,0.11,1.99,1.46,3.41,3.48,ND,ND,13.98,14.44,9.01,5.90,ND,ND,1318,23,0,ND,ND,40.714830,-73.931500,ND,ND,10:26 AM,13.0,0.2,S,4,N,1,0.00,0.00,2.0,6.80,6.81,QD,QD,,620,440,,W,0.013,,1.020,,0.341,,2.330,,2.600,,0.486,,8.8,8.8,4.400,,3.20,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
NC1,8/6/08,4,21,20.72,23.01,24.39,23.59,2.37,0.15,32.05,2.04,3.27,3.54,ND,ND,12.76,14.71,52.67,10.50,ND,ND,372,8,0,ND,ND,40.724000,-73.926330,ND,ND,10:36 AM,20.0,0.2,S,4,N,1,0.43,0.00,2.0,6.91,7.02,QD,QD,,44,80,,W,0.010,,0.588,,0.302,,1.540,,1.960,,0.380,,7.2,5.6,6.880,,4.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
NC2,8/6/08,3,18,21.26,23.11,24.23,23.57,1.75,0.14,23.66,1.93,3.34,3.55,ND,ND,13.21,14.79,54.10,15.91,ND,ND,1302,51,0,ND,ND,40.729000,-73.935000,ND,ND,2:47 PM,17.0,0.6,E,6,NNW,1,0.82,0.96,2.5,7.03,7.08,QD,QD,,24,20,,W,0.121,,0.426,,0.172,,1.370,,1.650,,0.338,,13.6,13.6,22.280,,4.10,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
NC3,8/6/08,4,22,22.19,23.24,24.16,23.73,3.83,3.31,51.97,44.76,3.47,3.58,ND,ND,13.93,14.84,33.01,4.25,ND,ND,1246,41,0,ND,ND,40.737330,-73.946500,ND,ND,11:00 AM,20.0,0.5,E,10,NNW,1,4.08,4.14,3.0,7.20,7.21,QD,QD,,4,16,,W,0.244,,0.334,,0.139,,1.220,,1.520,,0.249,,19.2,14.4,26.840,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,W,,,
DK5,8/6/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6.36,6.24,4.5,ND,ND,QD,ND,,48,ND,,W,0.472,,0.402,,0.173,,1.280,,1.400,,0.236,,7.2,9.6,7.700,,3.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
HC1,8/7/08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10:15 AM,3.2,ND,ND,ND,ND,ND,ND,ND,ND,7.11,ND,QD,ND,,70,ND,,W,3.820,,4.910,,0.828,,15.800,,14.700,,1.050,,8.0,,6.900,,,ND,ND,10.17,ND,23.94,ND,4.7,ND,4.48,ND,2.4,ND,D,,,
