Site,Date,Depth,,Salinity,,Temperature,,O2,,O2 Saturation,,Conductivity,,Light Trans,,Sigma-T,,Fluorometer,,pH,,Photosysthetically Active Radiation Reference (400-700nm light),PAR,,Oxidation Reduction Potential,,Latitude,Longitude,Default,,Hr:Mn,Act. Dep.,Current,,Wind,,Sea State,O2 (Wnklr),,Secchi,pH,,Fecal  Coliform,,Inc.,Enterococcus,,Inc.,Weather,NO3/NO2-N,,NH3-N,,Ortho-P,,TKN-N,,SiO2,,Total-P,,TSS,,Chl a,,DOC,Depth (YSI),,Salinity (YSI),,Temperature (YSI),,Chl a (field),,DO (YSI),,Turbidity (YSI),,Weather,,,
,,(ft),,(psu),,(deg C),,(mg/L),,(% sat),,(S/M),,(%Trans.),,(kg/m3),,(mg/m3),,,,uE/s m2,uE/s m2,,mV,,,,Latitude,Longitude,,(ft),(knots),,(mph),,,(mg/L),,(ft),,,(#/100 mL),,#,(#/100 mL),,#,,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(mg/L),,(μg/L),,(mg/L),(ft),,(psu),,(deg C),,(μg/L),,(mg/L),,,,Rain Gage,,,
   ,,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,,,,,,,Speed,Dir.,Speed,Dir.,,Top,Bot,,Top,Bot,Top,Bot,,Top,Bot,,Dry/Wet,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Top,Bot,Dry/Wet,,,
J11,1/15/08,5,22,28.23,27.85,6.10,6.44,ND,ND,ND,ND,2.84,2.83,ND,ND,22.20,21.86,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:09 AM,23.0,0.3,W,12,W,1,10.58,10.30,10.0,7.66,7.65,38,ND,,12,ND,,W,0.285,,0.179,,0.056,,0.736,,0.684,,0.079,,12.8,8.5,2.403,,2.60,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
SHB1,1/15/08,5,41,28.79,28.52,6.55,6.90,ND,ND,ND,ND,2.92,2.93,ND,ND,22.59,22.33,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:23 AM,40.0,0.3,W,12,W,1,9.03,7.95,8.0,7.60,7.57,184,52,,48,30,,W,0.216,0.184,0.269,0.294,0.048,0.048,0.926,0.814,1.220,1.280,0.086,0.091,6.8,7.5,2.976,,2.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J1,1/15/08,4,36,26.98,27.14,5.62,5.78,ND,ND,ND,ND,2.69,2.71,ND,ND,21.26,21.37,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11:49 AM,38.0,1.1,E,11,W,1,10.55,10.86,5.0,7.77,7.78,22,ND,,10,ND,,W,0.252,,0.195,,0.065,,0.812,,0.892,,0.086,,3.3,12.0,2.880,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J2,1/15/08,5,37,26.94,27.09,5.12,5.15,ND,ND,ND,ND,2.65,2.66,ND,ND,21.28,21.39,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:18 PM,36.0,0.5,N,14,W,1,12.75,12.40,6.0,7.95,7.90,28,ND,,4,ND,,W,0.482,,0.206,,0.054,,1.080,,0.162,,0.120,,8.0,7.2,27.440,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J3,1/15/08,5,31,26.58,26.68,5.58,5.71,ND,ND,ND,ND,2.65,2.67,ND,ND,20.95,21.02,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:33 PM,33.0,WEAK,E,14,W,1,12.19,11.61,4.0,7.97,7.97,56,ND,,8,ND,,W,0.514,,0.238,,0.059,,1.110,,0.145,,0.134,,8.5,10.7,35.920,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J9A,1/15/08,5,21,26.70,26.75,5.83,5.80,ND,ND,ND,ND,2.68,2.68,ND,ND,21.02,21.06,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:42 PM,23.0,HW SLEEK,ND,13,W,1,12.20,12.32,4.0,8.01,8.00,42,ND,,6,ND,,W,0.542,,0.266,,0.053,,1.090,,0.146,,0.142,,7.8,6.5,33.920,,2.80,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
SP2,1/15/08,5,ND,25.83,ND,5.65,ND,ND,ND,ND,ND,2.59,ND,ND,ND,20.35,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12:57 PM,7.5,E SLK,E,9,W,1,12.47,ND,3.0,8.07,ND,60,ND,,12,ND,,W,0.614,,0.401,,0.069,,1.320,,0.116,,0.170,,22.8,,44.414,,3.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J8,1/15/08,4,20,26.27,26.36,5.61,5.69,ND,ND,ND,ND,2.62,2.64,ND,ND,20.70,20.77,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:05 PM,21.0,0.3,E,9,W,1,12.77,12.06,4.0,8.06,8.09,36,ND,,4,ND,,W,0.618,,0.369,,0.068,,1.410,,0.079,,0.173,,7.2,8.8,47.106,,2.90,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J7,1/15/08,4,24,24.98,25.02,4.92,5.06,ND,ND,ND,ND,2.46,2.47,ND,ND,19.75,19.77,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:18 PM,26.0,0.5,S,14,NW,1,11.23,11.50,3.0,8.05,8.04,76,ND,,18,ND,,W,0.750,,0.532,,0.080,,1.700,,0.095,,0.209,,8.0,6.8,61.166,,3.30,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
J12,1/15/08,5,41,24.40,24.40,5.05,5.13,ND,ND,ND,ND,2.42,2.42,ND,ND,19.28,19.27,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1:37 PM,43.0,0.4,W,12,NW,1,12.21,13.42,3.0,8.03,8.03,44,ND,,16,ND,,W,0.748,,0.554,,0.079,,1.850,,0.137,,0.204,,12.2,14.8,57.360,,3.40,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,D,,,
